word	file	lines
NYU	01-GARDE-architectural-overview.md	56,73,95
OpenCDS	01-GARDE-architectural-overview.Rmd	41,106,111,117,150
OpenCDS	01-GARDE-architectural-overview.md	39,104,109,115,148
OpenCDS	01-GARDE-architectural-overview.md	39,104,109,115,148
patients’	01-GARDE-architectural-overview.Rmd	83
patients’	01-GARDE-architectural-overview.md	81
patients’	01-GARDE-architectural-overview.md	81
PHM	01-GARDE-architectural-overview.Rmd	50,58,63,81,83,105,106,109,111,131,164
PHM	01-GARDE-architectural-overview.md	48,56,61,79,81,103,104,107,109,129,162
PHM	01-GARDE-architectural-overview.md	48,56,61,79,81,103,104,107,109,129,162
PMC	References.md	4
PMC	References.md	4
PMC	References.Rmd	4
PMCID	References.md	4
PMCID	References.md	4
PMCID	References.Rmd	4
PMID	References.md	4
PMID	References.md	4
PMID	References.Rmd	4
pre	01-GARDE-architectural-overview.Rmd	111
pre	01-GARDE-architectural-overview.md	109
pre	01-GARDE-architectural-overview.md	109
rmarkdown	02-chapter_of_course.md	206
Savonen	About.Rmd	25,26,27,28
Savonen	About.md	25,26,27,28
Savonen	About.md	25,26,27,28,111
Savonen	About.md	25,26,27,28
scalable	01-GARDE-architectural-overview.Rmd	41
scalable	01-GARDE-architectural-overview.md	39
scalable	01-GARDE-architectural-overview.md	39
sexualized	code_of_conduct.md	30
SNOMED	01-GARDE-architectural-overview.Rmd	162
SNOMED	01-GARDE-architectural-overview.md	160
SNOMED	01-GARDE-architectural-overview.md	160
socio	code_of_conduct.md	6
ssl	01-GARDE-architectural-overview.Rmd	130
ssl	01-GARDE-architectural-overview.md	128
ssl	01-GARDE-architectural-overview.md	128
synched	LICENSE.md	71
tcl	01-GARDE-architectural-overview.Rmd	130
tcl	01-GARDE-architectural-overview.md	128
tcl	01-GARDE-architectural-overview.md	128
UHealth	01-GARDE-architectural-overview.Rmd	75,97
UHealth	01-GARDE-architectural-overview.md	73,95
UHealth	01-GARDE-architectural-overview.md	73,95
Videographer	About.Rmd	32
Videographer	About.md	32
Videographer	About.md	32
Videographer	About.md	32
Videography	About.Rmd	33
Videography	About.md	33
Videography	About.md	33
Videography	About.md	33
VM	01-GARDE-architectural-overview.Rmd	122
VM	01-GARDE-architectural-overview.md	120
VM	01-GARDE-architectural-overview.md	120
VMs	01-GARDE-architectural-overview.Rmd	156
VMs	01-GARDE-architectural-overview.md	154
VMs	01-GARDE-architectural-overview.md	154
WIPO	LICENSE.md	93
